previous_gpa,attendance_rate,study_hours,assignment_average,test_average,library_visits,class_participation,predicted_gpa,risk_level
1.01,79.5,8.4,24.4,36.9,6,4.9,2.25,HIGH
2.6,89.9,9.7,63.7,63.5,9,9.9,4.1,MEDIUM
4.47,90.8,20.2,98.0,77.2,14,9.3,5.0,LOW
1.23,100.0,7.5,25.4,47.4,6,10.0,2.71,HIGH
2.47,72.3,15.7,55.4,57.7,5,2.0,3.18,MEDIUM
3.1,69.3,1.8,65.7,41.7,0,9.1,3.21,HIGH
2.13,85.2,6.2,36.2,69.9,3,10.0,3.43,LOW
3.88,96.9,10.7,59.5,60.8,7,6.9,4.45,MEDIUM
3.73,78.9,19.3,61.8,93.3,6,10.0,4.43,LOW
1.4,98.0,6.5,35.5,35.7,5,10.0,2.65,HIGH
3.3,89.0,6.5,68.6,60.0,7,6.2,3.87,MEDIUM
3.57,74.8,13.6,64.9,72.8,8,7.7,4.33,MEDIUM
2.59,87.0,14.6,73.1,45.8,10,9.1,3.67,HIGH
1.76,71.0,5.8,51.7,20.0,6,3.5,2.35,HIGH
4.16,81.8,8.9,81.9,74.9,1,7.5,4.34,LOW
1.53,60.8,18.5,33.7,43.9,13,8.9,3.08,HIGH
2.12,76.9,4.9,47.5,66.2,2,6.0,3.13,LOW
3.4,94.0,14.0,77.1,51.3,8,10.0,4.17,MEDIUM
3.99,90.3,8.9,84.0,80.8,4,9.8,4.5,LOW
4.29,87.9,20.4,88.4,76.8,15,7.2,5.0,LOW
2.0,82.6,15.5,42.0,46.4,6,8.4,3.18,HIGH
4.13,80.6,17.3,71.8,87.5,14,5.1,4.95,LOW
2.85,57.7,8.8,43.5,51.8,13,6.6,3.47,HIGH
2.9,74.7,16.9,63.8,60.6,5,7.1,3.59,MEDIUM
2.53,80.9,16.8,37.7,66.5,8,7.2,3.81,LOW
4.1,60.0,15.1,76.4,87.8,11,3.1,4.59,MEDIUM
1.11,50.0,10.3,27.4,18.9,4,4.8,1.74,HIGH
1.51,96.1,13.0,39.8,31.7,7,10.0,3.18,HIGH
4.23,78.8,0.9,90.2,75.5,2,5.1,4.17,LOW
3.43,81.4,22.6,80.0,75.8,11,10.0,4.82,LOW
4.57,86.9,8.4,90.5,78.9,6,9.2,5.0,LOW
3.89,62.3,10.0,65.7,73.4,9,4.5,4.08,MEDIUM
2.4,71.5,4.1,50.8,66.6,3,7.0,3.2,MEDIUM
3.97,100.0,16.0,65.8,69.5,6,10.0,4.43,LOW
3.83,70.2,15.2,65.9,89.3,13,9.8,4.68,MEDIUM
1.98,73.7,10.2,49.5,26.4,11,10.0,3.21,HIGH
2.65,67.3,0.0,45.1,50.4,3,10.0,2.96,MEDIUM
1.91,66.1,7.7,39.1,28.4,2,4.0,2.51,HIGH
4.33,95.7,14.8,69.3,80.0,6,8.1,4.78,LOW
4.72,38.4,13.5,92.4,93.1,1,1.0,4.33,HIGH
4.7,70.7,11.7,81.9,81.8,6,9.3,4.94,MEDIUM
1.63,81.6,9.5,17.3,35.2,9,7.8,2.24,HIGH
3.42,100.0,2.5,82.7,49.6,1,10.0,4.05,HIGH
4.64,59.8,17.8,94.8,100.0,8,3.1,5.0,HIGH
2.29,57.1,3.4,29.3,49.9,6,4.3,2.56,HIGH
3.79,64.2,10.8,79.2,65.6,10,4.8,4.11,MEDIUM
1.69,89.2,5.8,55.6,60.4,3,10.0,3.3,MEDIUM
3.34,80.0,18.0,63.3,60.6,12,9.4,4.63,MEDIUM
2.83,54.9,15.5,59.0,46.8,7,1.4,3.24,HIGH
2.85,79.6,9.9,54.5,49.4,5,7.0,3.23,HIGH
3.57,100.0,16.1,73.7,57.7,4,10.0,4.29,MEDIUM
2.87,82.2,3.0,68.4,45.4,4,10.0,3.6,HIGH
3.8,80.6,11.5,60.1,62.8,7,8.9,4.43,MEDIUM
3.35,81.6,5.7,58.3,93.9,2,8.5,4.32,LOW
0.85,84.6,18.2,28.7,16.1,10,6.6,2.6,HIGH
3.11,57.7,14.2,64.7,43.6,8,7.9,3.33,HIGH
3.87,74.3,15.9,77.1,75.5,7,5.0,4.53,MEDIUM
3.76,75.1,8.7,69.5,69.8,7,4.3,3.9,LOW
3.81,70.3,16.5,63.3,79.3,9,7.4,4.36,MEDIUM
3.66,89.0,5.3,79.7,62.6,4,8.0,4.37,MEDIUM
2.33,67.9,6.2,37.8,40.2,0,8.2,2.69,HIGH
3.31,72.2,10.9,59.7,84.4,7,8.2,3.85,MEDIUM
2.55,57.8,6.4,53.4,34.3,4,9.2,2.9,HIGH
3.71,84.1,16.3,75.5,74.3,7,9.2,4.61,LOW
3.26,93.1,9.2,60.9,71.9,8,10.0,4.38,LOW
3.99,72.2,5.5,82.4,83.8,0,5.5,4.1,MEDIUM
2.5,90.9,4.7,65.0,49.4,2,10.0,3.44,HIGH
3.15,75.6,16.2,56.0,47.1,11,7.0,3.79,HIGH
2.53,37.6,0.0,56.8,71.4,8,2.8,3.02,HIGH
4.54,77.2,5.9,85.6,76.2,0,5.9,4.53,LOW
4.57,75.2,20.4,80.1,100.0,12,10.0,5.0,LOW
1.24,79.6,9.9,14.6,39.8,8,8.0,2.34,HIGH
1.73,82.1,16.3,44.5,36.4,10,6.6,3.23,HIGH
1.69,67.1,14.6,45.0,46.4,5,8.1,3.2,HIGH
0.65,100.0,10.9,35.6,40.9,5,9.1,2.62,HIGH
4.1,76.9,2.0,73.1,76.4,0,6.1,4.04,LOW
3.92,74.8,4.0,67.1,64.0,4,10.0,4.24,MEDIUM
3.78,89.9,3.9,62.5,49.4,0,6.6,3.81,HIGH
3.47,78.3,14.9,37.1,61.5,10,10.0,4.07,MEDIUM
3.33,100.0,16.0,60.9,74.3,8,8.4,4.49,LOW
4.57,74.6,6.7,100.0,69.9,3,8.7,4.79,MEDIUM
2.61,83.6,11.5,66.8,62.7,8,8.2,3.76,MEDIUM
1.47,66.0,12.0,27.1,38.9,8,8.1,2.19,HIGH
3.56,91.9,12.5,63.2,76.8,10,6.4,4.41,LOW
3.03,82.9,7.4,55.3,32.4,4,5.3,3.39,HIGH
1.44,72.6,21.8,50.6,21.2,12,8.8,3.02,HIGH
2.17,64.0,16.1,69.7,42.8,5,2.8,2.97,HIGH
3.81,57.0,12.4,73.1,93.7,12,3.4,4.21,HIGH
4.73,84.7,8.9,88.6,75.2,3,8.3,5.0,LOW
2.55,55.8,7.0,58.5,52.2,7,3.0,3.1,HIGH
2.16,98.9,14.4,47.2,74.0,11,7.6,3.39,LOW
4.05,57.8,9.2,78.6,79.9,7,5.0,4.11,HIGH
2.36,75.1,12.8,50.9,61.3,7,3.1,3.26,MEDIUM
0.77,63.9,0.6,31.3,21.0,1,3.6,1.4,HIGH
3.71,78.5,8.8,50.6,84.1,6,10.0,4.24,LOW
3.26,78.4,11.3,59.1,79.6,1,9.8,4.0,LOW
3.35,85.1,17.8,53.4,70.9,10,10.0,4.36,LOW
4.15,53.6,6.5,84.2,75.1,9,6.5,4.2,HIGH
3.4,65.8,3.1,58.2,72.4,2,9.2,3.62,MEDIUM
3.34,93.5,14.7,49.5,45.3,9,8.5,3.84,HIGH
2.94,88.5,11.6,41.3,72.3,4,8.5,4.0,LOW
2.27,38.0,1.7,53.5,39.5,3,4.6,2.46,HIGH
0.84,84.0,2.0,18.3,26.4,0,4.6,1.82,HIGH
3.53,61.5,8.1,66.5,83.2,8,7.2,4.15,MEDIUM
3.39,68.5,11.5,81.7,78.7,11,5.6,4.25,MEDIUM
1.98,74.4,20.3,48.4,26.2,16,6.5,2.92,HIGH
1.17,100.0,5.5,27.5,23.0,0,10.0,2.61,HIGH
2.93,61.3,15.2,47.1,66.6,11,3.0,3.37,MEDIUM
3.84,55.5,0.2,77.0,50.9,4,5.7,3.51,HIGH
3.74,85.2,14.2,69.8,87.4,7,9.4,4.37,LOW
1.78,77.6,21.0,47.4,44.3,16,6.7,3.5,HIGH
2.37,97.3,12.9,26.7,68.1,9,9.8,3.69,LOW
1.85,72.4,8.0,54.1,34.9,10,7.4,2.99,HIGH
1.32,97.4,19.4,17.6,28.6,7,10.0,3.01,HIGH
4.66,78.3,14.1,80.1,95.7,6,7.5,5.0,LOW
2.34,86.5,12.9,64.0,47.2,8,6.1,3.37,HIGH
4.11,100.0,5.9,54.3,60.6,8,8.8,4.3,MEDIUM
2.16,75.3,14.2,46.6,55.0,10,6.8,3.33,MEDIUM
3.59,94.7,7.9,66.1,49.1,3,7.9,3.93,HIGH
3.82,68.2,13.9,72.1,88.8,14,7.2,4.42,MEDIUM
3.21,81.6,12.3,66.6,65.1,7,8.4,4.36,LOW
3.63,54.9,18.5,69.6,58.1,8,5.7,4.13,HIGH
3.67,69.9,8.5,56.7,83.1,3,5.2,4.06,MEDIUM
3.85,61.1,11.1,73.8,85.9,3,6.4,4.52,MEDIUM
1.9,97.5,16.8,43.3,44.6,3,10.0,3.48,HIGH
1.62,100.0,10.6,38.7,68.0,6,10.0,3.41,LOW
4.88,72.3,11.9,100.0,100.0,3,9.4,5.0,MEDIUM
0.8,65.6,9.6,40.4,33.1,7,6.8,2.38,HIGH
1.7,57.0,11.0,58.8,54.6,10,4.4,2.68,HIGH
3.51,82.2,16.0,71.1,82.9,11,9.9,4.81,LOW
3.51,68.4,23.0,85.6,53.6,13,4.0,3.9,MEDIUM
4.07,69.2,1.9,67.5,78.4,0,5.8,4.22,MEDIUM
3.79,100.0,4.4,68.3,62.9,6,9.7,4.43,MEDIUM
4.26,73.3,11.2,73.0,67.7,13,8.6,4.92,MEDIUM
1.78,87.4,12.3,36.8,44.4,12,10.0,3.26,HIGH
0.5,78.8,10.7,23.0,27.4,3,9.6,2.3,HIGH
4.22,56.3,8.7,80.3,57.7,6,7.1,4.22,HIGH
2.4,48.5,4.6,55.3,55.7,3,6.6,2.77,HIGH
1.81,85.8,8.3,59.6,40.3,4,10.0,2.98,HIGH
4.27,100.0,16.9,63.8,94.6,10,7.7,4.88,LOW
2.17,83.0,12.6,35.5,62.3,14,10.0,3.55,MEDIUM
2.05,88.0,16.1,21.4,36.5,10,10.0,3.12,HIGH
3.29,63.5,4.8,56.0,79.8,3,6.0,3.69,MEDIUM
4.04,94.2,20.7,71.1,80.9,13,10.0,5.0,LOW
3.31,94.0,8.6,57.7,61.8,2,6.8,3.74,MEDIUM
4.3,66.9,14.9,68.1,72.0,7,6.2,4.53,MEDIUM
1.46,86.7,11.2,37.9,24.7,10,8.0,2.84,HIGH
3.93,49.7,8.8,70.1,58.4,6,4.1,4.02,HIGH
4.24,89.6,14.6,69.8,55.4,15,10.0,4.75,MEDIUM
3.28,68.8,15.6,65.7,64.1,10,7.1,3.99,MEDIUM
3.51,58.4,28.1,61.9,42.4,12,3.4,4.25,HIGH
1.52,84.4,15.8,49.4,28.9,5,6.1,2.84,HIGH
4.88,49.7,15.7,86.5,94.1,12,1.0,4.79,HIGH
2.45,83.5,18.9,48.3,70.2,8,10.0,4.0,LOW
2.58,59.9,15.2,56.4,40.4,6,5.5,3.35,HIGH
4.38,56.5,11.8,60.7,86.7,6,7.2,4.37,HIGH
2.04,79.0,14.0,57.8,42.9,11,10.0,4.0,HIGH
3.17,75.2,17.1,70.4,56.2,9,5.7,3.83,MEDIUM
1.66,100.0,20.3,32.0,43.1,9,10.0,3.66,HIGH
3.69,57.4,2.9,59.0,61.8,7,8.6,3.41,HIGH
4.33,100.0,0.7,69.9,77.6,5,9.0,4.4,LOW
1.61,59.8,20.1,25.0,41.3,17,5.3,2.46,HIGH
1.01,92.7,7.2,13.2,46.0,9,10.0,2.46,HIGH
0.32,95.7,2.1,5.4,39.1,6,10.0,1.8,HIGH
2.11,83.1,1.5,20.1,40.3,0,9.6,2.69,HIGH
2.93,65.3,22.8,55.3,55.7,15,4.8,3.6,MEDIUM
4.62,53.6,17.3,83.0,92.3,14,3.9,5.0,HIGH
3.3,46.8,7.2,77.3,62.0,11,3.7,3.7,HIGH
3.37,100.0,7.5,75.4,73.7,6,6.4,4.32,LOW
4.06,73.3,12.3,68.5,85.7,6,7.0,4.54,MEDIUM
3.29,60.3,17.2,61.8,76.2,7,6.0,4.11,MEDIUM
2.3,59.7,10.2,60.6,51.3,10,6.1,3.46,HIGH
2.59,80.7,7.3,49.4,40.3,3,5.2,2.99,HIGH
4.0,71.7,18.8,76.8,72.0,11,7.9,4.47,MEDIUM
4.02,47.3,11.8,69.2,68.2,5,2.8,3.9,HIGH
1.23,91.8,10.9,33.8,44.5,6,8.7,3.19,HIGH
3.18,83.4,15.6,63.6,80.8,11,6.9,4.03,LOW
2.34,100.0,0.0,46.6,69.4,2,10.0,3.63,LOW
4.25,96.3,14.8,89.4,88.1,11,8.3,5.0,LOW
1.52,28.4,14.5,29.2,28.1,5,5.5,2.16,HIGH
3.96,100.0,3.7,75.6,90.3,3,10.0,4.81,LOW
4.61,97.3,0.4,100.0,87.7,0,10.0,5.0,LOW
2.33,66.2,8.6,53.1,40.8,3,6.8,3.35,HIGH
2.71,71.1,13.1,47.8,66.3,6,5.4,3.66,MEDIUM
3.17,84.6,13.7,66.1,59.8,6,9.3,3.76,MEDIUM
3.11,61.8,22.2,86.0,38.2,14,5.3,3.88,HIGH
1.14,74.1,13.1,32.5,22.2,9,8.0,2.47,HIGH
2.31,94.0,3.6,57.6,49.6,6,10.0,3.69,HIGH
4.03,86.3,10.5,75.5,73.2,8,10.0,4.65,LOW
2.93,67.3,4.2,61.7,46.2,4,7.7,3.32,HIGH
4.4,94.4,10.9,80.2,88.6,7,10.0,5.0,LOW
3.73,82.8,20.5,60.8,76.5,14,9.6,4.71,LOW
2.39,82.3,14.8,54.5,34.2,3,7.8,3.25,HIGH
2.1,69.8,7.7,34.2,78.9,5,8.3,3.2,MEDIUM
1.38,77.9,15.6,32.5,22.7,10,7.5,2.59,HIGH
1.41,65.6,7.3,55.2,32.2,11,5.7,2.69,HIGH
2.91,47.0,0.0,58.0,63.3,0,2.5,3.05,HIGH
2.91,73.5,4.6,49.4,53.2,0,8.7,3.87,MEDIUM
2.72,76.0,14.8,58.3,73.6,2,6.5,3.5,LOW
3.82,80.2,16.6,66.8,69.4,6,9.3,4.55,LOW
1.56,97.4,22.3,39.5,28.8,12,9.7,3.57,HIGH
2.65,67.6,14.0,43.0,62.5,6,6.2,3.25,MEDIUM
2.99,72.1,20.1,67.6,25.1,9,5.5,3.64,HIGH
1.42,90.3,15.8,37.5,44.3,9,10.0,3.08,HIGH
4.25,66.0,17.6,68.8,93.0,12,5.8,4.61,MEDIUM
1.9,80.5,18.6,47.0,16.9,11,10.0,2.93,HIGH
2.61,71.5,14.9,73.5,49.7,9,5.5,3.59,HIGH
2.85,74.1,18.4,49.8,38.1,12,10.0,3.62,HIGH
2.89,90.1,7.8,65.9,58.6,0,9.2,3.95,MEDIUM
3.67,72.0,0.0,74.2,96.3,2,8.9,4.0,MEDIUM
1.51,90.7,15.9,41.7,41.9,9,6.5,3.24,HIGH
2.3,46.8,14.2,58.5,47.5,9,2.1,3.09,HIGH
4.51,55.1,6.7,79.9,47.3,3,6.0,3.98,HIGH
1.99,40.9,4.4,46.4,32.6,3,2.1,2.64,HIGH
2.46,59.3,12.8,52.9,50.8,9,8.6,3.57,HIGH
3.12,100.0,16.3,53.3,62.8,14,10.0,4.22,MEDIUM
3.36,77.7,15.1,69.9,69.1,4,6.5,3.86,LOW
2.69,66.5,5.9,51.8,64.9,6,4.8,3.17,MEDIUM
3.63,90.5,7.2,87.8,58.0,9,8.5,4.25,MEDIUM
3.09,92.8,16.0,56.2,61.7,6,8.1,3.68,MEDIUM
1.77,58.5,12.4,28.3,36.8,7,6.8,2.66,HIGH
1.86,100.0,18.4,54.0,32.7,12,9.8,3.26,HIGH
3.26,82.4,10.1,56.4,53.2,13,10.0,4.01,MEDIUM
2.39,84.4,16.4,38.8,58.0,16,9.7,3.91,MEDIUM
3.77,86.0,11.8,75.4,40.0,4,6.9,4.26,HIGH
2.11,85.9,7.7,60.0,25.3,4,7.7,2.98,HIGH
3.97,68.1,17.6,82.0,100.0,11,5.1,4.67,MEDIUM
2.73,100.0,6.0,50.3,48.3,6,8.3,3.85,HIGH
4.47,73.4,12.4,83.4,98.3,8,3.8,5.0,MEDIUM
3.04,93.3,13.1,57.7,59.8,5,10.0,4.16,MEDIUM
3.61,70.4,11.3,85.8,61.8,4,9.6,4.1,MEDIUM
2.43,67.6,17.9,47.1,59.9,6,4.8,3.09,MEDIUM
0.83,100.0,15.4,28.4,30.6,3,7.8,2.83,HIGH
2.82,76.3,14.7,59.0,55.4,4,8.7,3.7,MEDIUM
2.33,77.5,12.4,38.3,50.1,11,6.1,3.48,MEDIUM
2.48,82.5,23.1,50.3,57.5,15,10.0,3.84,MEDIUM
1.06,100.0,20.8,29.1,24.5,14,8.6,3.15,HIGH
3.75,100.0,17.5,85.0,64.7,10,5.7,4.95,MEDIUM
4.53,98.5,16.5,84.9,69.7,10,9.6,5.0,LOW
4.83,100.0,8.4,83.7,71.2,5,8.8,5.0,LOW
3.17,62.9,11.7,61.1,84.6,3,6.6,3.67,MEDIUM
2.11,88.5,15.8,46.0,36.7,11,8.2,3.11,HIGH
4.12,79.2,18.3,76.4,87.6,13,9.1,5.0,LOW
2.77,49.7,17.4,65.8,52.5,7,5.8,3.33,HIGH
3.49,85.4,15.5,77.2,73.4,6,9.2,4.54,LOW
2.33,70.1,24.0,40.0,50.5,15,7.4,3.56,MEDIUM
1.93,100.0,11.2,54.6,23.5,8,10.0,3.38,HIGH
3.15,71.7,18.1,69.8,62.5,13,4.4,4.11,MEDIUM
3.67,70.8,17.3,69.6,76.7,14,7.9,4.66,MEDIUM
3.07,100.0,14.7,46.2,49.5,6,10.0,3.96,HIGH
3.67,77.0,14.9,72.2,97.2,9,8.4,4.77,LOW
3.87,96.6,14.8,69.4,81.9,6,9.3,4.75,LOW
2.92,84.8,7.8,64.4,68.7,3,9.7,4.14,LOW
3.88,85.0,14.4,79.7,83.4,7,9.0,5.0,LOW
3.69,74.1,16.5,83.6,41.7,14,8.8,4.41,HIGH
2.89,86.0,13.9,47.8,67.0,12,8.4,4.05,LOW
4.43,75.9,0.9,100.0,100.0,2,4.7,4.71,LOW
1.31,65.1,2.5,43.6,45.4,0,6.2,2.43,HIGH
2.23,76.3,7.1,55.5,46.0,6,5.7,3.03,HIGH
3.73,98.6,11.3,90.1,56.8,8,8.9,4.46,MEDIUM
4.62,86.6,7.4,87.5,68.2,2,8.8,4.67,LOW
2.86,90.3,15.9,68.2,42.1,12,10.0,4.35,HIGH
3.11,78.0,19.2,63.4,56.8,8,9.1,4.04,MEDIUM
1.93,47.0,20.0,52.3,32.2,14,5.1,3.19,HIGH
3.83,58.5,14.0,84.1,69.8,9,8.3,4.16,HIGH
3.49,73.4,18.5,77.9,69.3,6,7.4,4.35,MEDIUM
3.78,59.8,8.6,56.6,50.3,5,6.4,3.74,HIGH
3.27,69.6,11.1,59.9,54.6,7,6.2,3.82,MEDIUM
3.69,69.0,5.0,82.1,62.8,5,4.8,3.71,MEDIUM
2.98,69.5,19.2,64.6,52.4,14,8.1,3.69,MEDIUM
3.02,100.0,23.8,59.8,60.5,17,6.9,4.51,MEDIUM
3.45,77.2,9.9,71.8,67.8,6,5.9,3.92,LOW
3.24,93.0,0.0,52.5,58.2,3,9.7,3.84,MEDIUM
2.27,80.6,6.3,56.9,41.7,9,6.4,3.47,HIGH
2.08,100.0,8.1,49.9,46.9,2,10.0,3.25,HIGH
1.61,94.3,4.0,40.0,57.8,2,9.7,3.0,MEDIUM
1.88,68.5,5.8,41.4,26.9,0,5.7,2.02,HIGH
2.69,100.0,13.2,57.6,69.2,6,10.0,4.26,LOW
3.48,70.7,16.0,64.4,47.1,10,7.2,4.32,HIGH
1.54,81.2,0.0,34.8,43.8,0,5.8,2.21,HIGH
1.95,84.0,8.8,62.2,57.9,7,9.5,3.75,MEDIUM
2.49,85.8,12.2,36.5,37.0,6,4.5,3.32,HIGH
1.94,90.7,5.6,28.4,49.3,4,10.0,3.19,HIGH
1.89,65.9,13.4,51.2,31.9,5,7.7,2.74,HIGH
2.29,89.4,11.3,37.2,64.1,7,10.0,3.52,MEDIUM
2.09,87.3,9.3,26.3,28.1,11,10.0,3.07,HIGH
3.97,78.0,6.8,84.7,62.9,4,7.7,4.38,MEDIUM
1.67,75.0,13.6,52.6,42.9,2,6.0,2.87,HIGH
2.91,65.1,7.4,45.6,67.3,9,6.5,3.57,MEDIUM
0.71,85.7,1.6,7.7,29.1,4,10.0,1.95,HIGH
2.86,67.4,12.1,45.7,64.0,8,5.1,3.44,MEDIUM
4.17,81.8,4.6,70.5,69.7,5,8.5,4.28,LOW
0.61,76.4,2.1,43.3,13.4,3,4.0,2.04,HIGH
2.73,56.7,12.8,51.6,73.7,13,4.0,3.25,HIGH
3.91,63.1,11.0,81.9,78.7,9,4.6,4.43,MEDIUM
3.79,84.5,6.8,79.1,65.3,4,10.0,4.41,LOW
1.2,69.6,13.4,46.3,15.0,13,4.3,1.94,HIGH
2.52,69.1,14.5,46.6,68.0,14,7.7,3.84,MEDIUM
2.68,65.8,13.4,55.2,70.8,11,9.8,4.02,MEDIUM
1.31,66.3,13.2,32.5,33.8,9,8.6,2.52,HIGH
1.99,100.0,2.4,50.2,37.9,0,10.0,3.2,HIGH
2.57,60.1,19.8,65.7,50.8,13,9.3,3.78,MEDIUM
3.08,100.0,15.3,83.0,58.6,10,10.0,4.92,MEDIUM
2.54,72.7,6.3,49.2,62.8,5,8.2,3.49,MEDIUM
1.66,67.5,11.9,41.3,27.5,10,7.1,2.69,HIGH
0.82,84.1,13.1,35.9,22.5,8,9.4,2.73,HIGH
3.08,78.8,11.8,67.3,58.9,9,8.7,4.28,MEDIUM
3.16,74.8,22.8,79.6,65.4,16,10.0,4.95,MEDIUM
4.01,81.5,0.3,74.1,84.6,0,8.7,4.21,LOW
1.05,78.6,3.1,26.7,36.4,0,6.0,2.24,HIGH
2.06,74.6,0.0,59.6,67.8,0,8.6,3.1,MEDIUM
3.6,93.0,12.5,72.1,56.6,14,10.0,4.91,MEDIUM
3.78,54.8,15.3,77.1,88.4,11,3.8,4.34,HIGH
4.51,63.4,14.2,81.9,69.7,11,4.6,4.69,MEDIUM
0.77,65.4,10.3,35.8,24.0,10,8.4,2.23,HIGH
3.68,61.1,14.4,61.6,74.2,6,5.0,4.09,MEDIUM
3.32,79.4,10.2,60.3,78.7,0,7.1,3.63,LOW
4.39,86.1,16.4,54.4,74.8,10,7.7,4.84,LOW
1.31,46.6,18.6,28.4,41.1,14,5.2,2.75,HIGH
1.66,70.4,6.4,49.2,37.5,4,9.2,2.67,HIGH
2.91,72.9,10.3,59.1,31.2,3,8.6,2.95,HIGH
2.05,73.4,11.2,36.6,46.3,4,6.4,3.21,HIGH
4.23,57.4,20.6,92.8,62.4,8,8.4,4.87,HIGH
4.03,73.0,7.1,76.9,89.7,3,9.0,4.69,MEDIUM
3.01,63.4,18.6,77.1,75.5,7,8.3,4.14,MEDIUM
4.21,72.6,3.2,86.6,66.8,4,9.2,4.3,MEDIUM
2.64,50.5,19.5,56.4,43.0,10,4.0,3.48,HIGH
3.4,72.8,17.1,84.3,58.0,12,5.4,4.13,MEDIUM
2.26,66.5,11.1,45.1,56.0,4,6.0,3.13,MEDIUM
3.0,73.8,17.5,49.0,66.4,11,9.4,3.96,MEDIUM
3.55,82.8,9.0,84.2,100.0,6,5.9,4.68,LOW
2.35,77.3,6.5,56.4,47.3,6,5.1,3.13,HIGH
2.77,90.7,22.2,70.4,57.8,14,5.4,4.15,MEDIUM
3.32,72.2,8.8,73.5,87.6,8,4.7,4.51,MEDIUM
2.28,87.9,16.1,65.7,53.4,12,7.2,3.87,MEDIUM
3.61,96.0,18.7,64.0,55.5,12,9.8,4.55,MEDIUM
3.43,82.4,16.8,64.6,70.1,11,5.9,4.42,LOW
2.75,77.7,15.6,54.3,65.0,7,9.1,3.62,MEDIUM
3.11,84.6,16.1,59.7,57.4,12,8.6,4.27,MEDIUM
4.64,82.9,18.3,68.9,92.5,9,4.2,4.98,LOW
1.85,94.0,13.9,44.4,52.4,8,9.4,3.31,MEDIUM
2.71,90.7,11.8,63.6,50.4,5,9.4,3.76,MEDIUM
4.88,90.9,3.8,81.4,100.0,1,10.0,5.0,LOW
2.11,78.7,13.9,37.5,38.2,8,8.4,3.11,HIGH
2.42,83.5,18.2,49.9,57.1,10,4.8,3.79,MEDIUM
3.88,83.2,5.4,81.1,65.1,2,8.8,4.12,LOW
3.57,58.7,10.6,57.7,47.6,7,6.2,3.32,HIGH
3.69,95.1,14.6,93.7,74.0,9,10.0,4.74,LOW
1.49,51.3,21.1,24.3,62.0,10,10.0,2.91,HIGH
3.89,89.4,5.0,67.6,71.8,11,7.9,4.4,LOW
4.47,82.3,16.8,93.4,62.6,11,6.9,4.78,MEDIUM
